SYMBOL
ABO
GYPA
GYPB
GYPE
A4GALT
RHD
RHCE
BCAM  
KEL
FUT3
FUT2
ACKR1
SLC14A1
SLC4A1
ACHE 
XG
ERMAP 
ART4 
AQP1
ICAM4 
C4A
C4B
FUT1
XK
GYPC
CD55
CR1
CD44
BSG
CD151
SEMA7A
GCNT2
B3GALNT1
AQP3
RHAG
GBGT1
ABCG2
ABCB6
SMIM1
CD59
SLC29A1
PRNP
B4GALNT2
SLC44A2
EMP3
GATA1
KLF1
RUNX1
GATA2
